gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3414426646	9781ce05-2379-4a10-ab3b-c91346510df8	f1c65f25-7a00-45e6-b699-0074746e8393	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii	A. Gray	US		Arizona	PRESENT		55807027-6d78-46bd-b2cb-301295ee35aa													3170287	3170287	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA0285861				CC_BY_NC_4_0					2022-02-01T17:19:34.113Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3414422650	9781ce05-2379-4a10-ab3b-c91346510df8	bc74b0c0-3bcf-4316-bc2e-96636e2e2d59	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii	A. Gray	US		Arizona	PRESENT		55807027-6d78-46bd-b2cb-301295ee35aa													3170287	3170287	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA0285862				CC_BY_NC_4_0					2022-02-01T17:19:33.984Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3407919289	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/100259249	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.970779	-109.32731	3892.0						2021-10-15T10:30:00	15	10	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	100259249		dionaea	2021-11-05T01:52:10	CC_BY_NC_4_0	Saelon Renkes	Saelon Renkes			2022-02-15T02:58:11.488Z	StillImage	COORDINATE_ROUNDED
3391690562	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/96388604	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.435298	-110.25097	29226.0						2021-09-26T09:08:00	26	9	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	96388604		D. Doyle	2021-09-27T18:10:00	CC_BY_NC_4_0	D. Doyle	D. Doyle			2022-02-15T02:06:55.431Z	StillImage	COORDINATE_ROUNDED
3391659070	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/98025304	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.873348	-109.185047							2021-10-10T10:37:00	10	10	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	98025304		dionaea	2021-10-12T22:22:53	CC_BY_4_0	Mike Ostrowski	Mike Ostrowski			2022-02-15T02:48:19.075Z	StillImage	COORDINATE_ROUNDED
3391338135	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/98033019	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.868525	-109.188524	8.0						2021-10-02T10:48:00	2	10	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	98033019		dionaea	2021-10-12T22:21:16	CC_BY_NC_4_0	docprt	docprt			2022-02-15T02:38:56.017Z	StillImage	COORDINATE_ROUNDED
3391332578	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/96731886	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		MX		Sonora	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.103334	-110.179459	3126.0						2021-09-29T10:44:00	29	9	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	96731886		leonardoac	2021-10-01T03:28:19	CC_BY_NC_4_0	Jorge Chacon	Jorge Chacon			2022-02-15T03:15:35.312Z	StillImage	COORDINATE_ROUNDED
3385532516	9781ce05-2379-4a10-ab3b-c91346510df8	a6ffb36e-e3f0-404e-b38e-278417731d19	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii	A. Gray	MX			PRESENT		55807027-6d78-46bd-b2cb-301295ee35aa													3170287	3170287	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA0281390				CC_BY_NC_4_0					2022-02-01T17:19:34.071Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3385523527	9781ce05-2379-4a10-ab3b-c91346510df8	ef42e7f1-4619-4f8c-8ffd-27a3127ba18f	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii	A. Gray	MX			PRESENT		55807027-6d78-46bd-b2cb-301295ee35aa													3170287	3170287	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA0281391				CC_BY_NC_4_0					2022-02-01T17:19:34.093Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3383994991	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94993539	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.449818	-110.282063							2021-09-09T15:09:42	9	9	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	94993539		dionaea	2021-10-04T02:06:59	CC_BY_NC_4_0	David Greenberger	David Greenberger			2022-02-15T02:56:52.877Z	StillImage	COORDINATE_ROUNDED
3355337889	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/93652020	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.875221	-109.179643	1956.0						2021-08-25T22:02:34	25	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	93652020		Alice Wakefield	2021-09-08T17:04:00	CC_BY_NC_4_0	Ludwig K. Bradley	Ludwig K. Bradley			2022-02-15T02:45:15.182Z	StillImage	COORDINATE_ROUNDED
3355299485	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94158066	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.878895	-109.222595	6.0						2021-09-08T13:29:18	8	9	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	94158066		Steve Ganley	2021-09-09T00:04:23	CC_BY_NC_4_0	Bettina Arrigoni	Bettina Arrigoni			2022-02-15T03:14:50.991Z	StillImage	
3355040141	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/92959054	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.875972	-109.233406							2021-08-15T10:28:00	15	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	92959054		dionaea	2021-08-29T21:29:31	CC_BY_NC_4_0	Joshua Doby	Joshua Doby			2022-02-15T01:59:52.120Z	StillImage	COORDINATE_ROUNDED
3355004222	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/92964013	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.878717	-109.235447							2021-08-15T12:03:00	15	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	92964013		dionaea	2021-08-29T21:31:35	CC_BY_NC_4_0	Joshua Doby	Joshua Doby			2022-02-15T02:00:32.017Z	StillImage	COORDINATE_ROUNDED
3351390841	d8cd16ba-bb74-4420-821e-083f2bac17c2	MG678869	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													3170287	3170287	PRESERVED_SPECIMEN			OKLA:Lynch 11453				CC_BY_4_0					2022-01-29T22:24:32.454Z		
3349923692	d8cd16ba-bb74-4420-821e-083f2bac17c2	GQ281177	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													3170287	3170287	PRESERVED_SPECIMEN			LSUS:Lynch 11453				CC_BY_4_0					2022-01-29T22:23:13.555Z		
3346552923	d8cd16ba-bb74-4420-821e-083f2bac17c2	GQ304326	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													3170287	3170287	PRESERVED_SPECIMEN			Lynch 11453 (LSUS)				CC_BY_4_0					2022-01-29T22:20:16.267Z		
3344065602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/92311827	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.866751	-109.190035	15.0						2021-08-09T09:39:00	9	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	92311827		dionaea	2021-08-24T03:49:50	CC_BY_NC_4_0	Simon Tolzmann	Simon Tolzmann			2022-02-15T02:27:27.355Z		COORDINATE_ROUNDED
3343983859	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/91853781	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.902495	-109.24257	348.0						2021-08-18T12:46:28	18	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	91853781		cjonthemountain	2021-08-20T14:58:25	CC_BY_NC_4_0	cjonthemountain	cjonthemountain			2022-02-15T01:58:50.034Z	StillImage	COORDINATE_ROUNDED
3343738900	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/92312026	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	Asclepias lemmonii		SPECIES	Asclepias lemmonii A.Gray	Asclepias lemmonii		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.866181	-109.190187	15.0						2021-08-09T10:33:00	9	8	2021	3170287	3170287	HUMAN_OBSERVATION	iNaturalist	Observations	92312026		dionaea	2021-08-24T03:56:45	CC_BY_NC_4_0	Simon Tolzmann	Simon Tolzmann			2022-02-15T02:56:53Z		COORDINATE_ROUNDED
