"","name","longitude","latitude","scientificName","year","month","day","eventDate","individualCount"
"1","Spinus tristis (Linnaeus, 1758)",-122.842596,45.559186,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,NA
"2","Spinus tristis pallidus Mearns, 1890",-117.870862,45.204243,"Spinus tristis pallidus Mearns, 1890",2020,1,17,2020-01-17,NA
"3","Spinus tristis pallidus Mearns, 1890",-117.936913,45.275313,"Spinus tristis pallidus Mearns, 1890",2020,1,18,2020-01-18,NA
"4","Spinus tristis pallidus Mearns, 1890",-117.870854,45.204235,"Spinus tristis pallidus Mearns, 1890",2020,1,21,2020-01-21,NA
"5","Spinus tristis pallidus Mearns, 1890",-117.87086,45.204231,"Spinus tristis pallidus Mearns, 1890",2020,1,21,2020-01-21,NA
"6","Spinus tristis (Linnaeus, 1758)",-118.049143,45.278944,"Spinus tristis (Linnaeus, 1758)",2020,1,19,2020-01-19,NA
"7","Spinus tristis (Linnaeus, 1758)",-123.258095,44.534595,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,28
"8","Spinus tristis (Linnaeus, 1758)",-122.82192,42.319637,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"9","Spinus tristis (Linnaeus, 1758)",-123.32352,42.421745,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"10","Spinus tristis (Linnaeus, 1758)",-123.01048,44.066483,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"11","Spinus tristis (Linnaeus, 1758)",-123.34937,42.506413,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"12","Spinus tristis (Linnaeus, 1758)",-123.24521,44.597942,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"13","Spinus tristis (Linnaeus, 1758)",-122.44542,45.530518,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"14","Spinus tristis (Linnaeus, 1758)",-123.07184,44.64444,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,7
"15","Spinus tristis (Linnaeus, 1758)",-122.6056,45.556553,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,2
"16","Spinus tristis (Linnaeus, 1758)",-123.04533,44.01754,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"17","Spinus tristis (Linnaeus, 1758)",-124.14759,43.061657,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"18","Spinus tristis (Linnaeus, 1758)",-122.44542,45.530518,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"19","Spinus tristis (Linnaeus, 1758)",-122.82099,45.506493,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"20","Spinus tristis (Linnaeus, 1758)",-121.20312,44.115616,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"21","Spinus tristis (Linnaeus, 1758)",-120.835976,44.314503,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,5
"22","Spinus tristis (Linnaeus, 1758)",-118.01569,45.24747,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,5
"23","Spinus tristis (Linnaeus, 1758)",-120.835976,44.314503,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,5
"24","Spinus tristis (Linnaeus, 1758)",-124.27166,42.044155,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"25","Spinus tristis (Linnaeus, 1758)",-124.27166,42.044155,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"26","Spinus tristis (Linnaeus, 1758)",-123.061806,44.9247,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,4
"27","Spinus tristis (Linnaeus, 1758)",-117.93017,45.013214,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,5
"28","Spinus tristis (Linnaeus, 1758)",-119.31152,45.928467,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,2
"29","Spinus tristis (Linnaeus, 1758)",-124.14759,43.061657,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"30","Spinus tristis (Linnaeus, 1758)",-122.829185,45.508114,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,12
"31","Spinus tristis (Linnaeus, 1758)",-123.92672,45.996037,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,19
"32","Spinus tristis (Linnaeus, 1758)",-118.10364,45.389603,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"33","Spinus tristis (Linnaeus, 1758)",-118.01364,45.423805,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,10
"34","Spinus tristis (Linnaeus, 1758)",-119.20419,45.863834,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,3
"35","Spinus tristis (Linnaeus, 1758)",-122.6481,45.58359,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,2
"36","Spinus tristis (Linnaeus, 1758)",-123.17495,44.070564,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,8
"37","Spinus tristis (Linnaeus, 1758)",-118.083374,45.304268,"Spinus tristis (Linnaeus, 1758)",2020,1,2,2020-01-02,10
"38","Spinus tristis (Linnaeus, 1758)",-122.65532,45.477615,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,2
"39","Spinus tristis (Linnaeus, 1758)",-120.83585,44.314682,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,12
"40","Spinus tristis (Linnaeus, 1758)",-123.049194,44.01121,"Spinus tristis (Linnaeus, 1758)",2020,1,4,2020-01-04,11
"41","Spinus tristis (Linnaeus, 1758)",-122.64546,45.446598,"Spinus tristis (Linnaeus, 1758)",2020,1,4,2020-01-04,8
"42","Spinus tristis (Linnaeus, 1758)",-123.347565,42.428513,"Spinus tristis (Linnaeus, 1758)",2020,1,2,2020-01-02,4
"43","Spinus tristis (Linnaeus, 1758)",-123.12688,44.60315,"Spinus tristis (Linnaeus, 1758)",2020,1,5,2020-01-05,2
"44","Spinus tristis (Linnaeus, 1758)",-123.24152,44.025776,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,2
"45","Spinus tristis (Linnaeus, 1758)",-122.66307,45.41931,"Spinus tristis (Linnaeus, 1758)",2020,1,4,2020-01-04,8
"46","Spinus tristis (Linnaeus, 1758)",-119.28376,45.92067,"Spinus tristis (Linnaeus, 1758)",2020,1,5,2020-01-05,8
"47","Spinus tristis (Linnaeus, 1758)",-124.26102,42.039692,"Spinus tristis (Linnaeus, 1758)",2020,1,2,2020-01-02,2
"48","Spinus tristis (Linnaeus, 1758)",-122.651245,45.525932,"Spinus tristis (Linnaeus, 1758)",2020,1,4,2020-01-04,11
"49","Spinus tristis (Linnaeus, 1758)",-123.061806,44.9247,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,4
"50","Spinus tristis (Linnaeus, 1758)",-122.89856,42.37478,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,2
"51","Spinus tristis (Linnaeus, 1758)",-123.06404,44.05157,"Spinus tristis (Linnaeus, 1758)",2020,1,8,2020-01-08,11
"52","Spinus tristis (Linnaeus, 1758)",-122.67884,42.176174,"Spinus tristis (Linnaeus, 1758)",2020,1,5,2020-01-05,1
"53","Spinus tristis (Linnaeus, 1758)",-121.404465,44.167393,"Spinus tristis (Linnaeus, 1758)",2020,1,4,2020-01-04,3
"54","Spinus tristis (Linnaeus, 1758)",-123.08623,44.775925,"Spinus tristis (Linnaeus, 1758)",2020,1,1,2020-01-01,1
"55","Spinus tristis (Linnaeus, 1758)",-123.12688,44.60315,"Spinus tristis (Linnaeus, 1758)",2020,1,3,2020-01-03,2
"56","Spinus tristis (Linnaeus, 1758)",-124.32137,43.347466,"Spinus tristis (Linnaeus, 1758)",2020,1,5,2020-01-05,2
